,Name,University,Year of Graduation,Advisor,Link
136,Bojan  Jovanović ,"[['Tatjana  Grbić ', 'University of Novi Sad', '2008'], ['Nebojša  Bojović ']]",[],[],https://scholar.google.com//citations?hl=en&user=sa8IWmQAAAAJ
137,Dejan  Jovanović ,University of Queensland,2014,"[['Philip Keith Pollett ', 'University of Cambridge', '1983']]",https://scholar.google.com//citations?hl=en&user=lWqzpFkAAAAJ
138,Jelena  Jovanović ,University of Belgrade,2016,"[['Predrag  Tanović ', 'McGill University', '1994'], ['Petar  Marković ', 'Vanderbilt University', '2003']]",https://scholar.google.com//citations?hl=en&user=2RDe9sYAAAAJ
139,Jorge Alberto Jover Galtier ,Universidad de Zaragoza,2017,"[['José Fernando Cariñena ', 'Universidad de Valladolid', '1972'], ['Jesús J Clemente Gallardo ', 'Universidad de Zaragoza', '1999']]",https://scholar.google.com//citations?hl=en&user=OLDRDvgAAAAJ
140,Mirjana  Jovovic ,Michigan State University,1994,"[['Sheldon Jay Axler ', 'University of California, Berkeley', '1975']]",https://scholar.google.com//citations?hl=en&user=QaXaSQU_QNkC
141,Jeffrey J Joyce ,University of Cambridge,1990,"[['Michael J C Gordon ', 'The University of Edinburgh', '1973']]",https://scholar.google.com//citations?hl=en&user=0uALSEQAAAAJ
142,Joseph Patrick Joyce ,Boston University,1984,[],https://scholar.google.com//citations?hl=en&user=eCFEOKUAAAAJ
143,Jerzy  Kijowski ,Uniwersytet Warszawski,1969,"[['Krzysztof  Maurin ', 'Uniwersytet Warszawski', '1950']]",https://scholar.google.com//citations?hl=en&user=UIfIfLAAAAAJ
144,Bjoern  Kjos-Hanssen ,"University of California, Berkeley",2002,"[['Theodore Allen Slaman ', 'Harvard University', '1981']]",https://scholar.google.com//citations?hl=en&user=b5dVN0MAAAAJ
145,Vebjorn  Ljosa ,"University of California, Santa Barbara",2007,"[['Ambuj Kumar Singh ', 'University of Texas at Austin', '1989']]",https://scholar.google.com//citations?hl=en&user=gDfZ-wQAAAAJ
146,Juan Antonio  Marmolejo Martín ,Universidad de Granada,2003,"[['Ramón  Gutiérrez Jáimez ', 'Universidad de', 'Granada']]",https://scholar.google.com//citations?hl=en&user=ObTJHrMAAAAJ
147,Jesus  Montejo-Gamez ,Universidad de Granada,2011,"[['José Luis  López ', 'Universidad de Granada', '1999']]",https://scholar.google.com//citations?hl=en&user=eGn33YMAAAAJ
148,Jack  Mountjoy ,The University of Chicago,2018,"[['Magne  Mogstad ', 'Universitetet i Oslo', '2008']]",https://scholar.google.com//citations?hl=en&user=2y0v5pEAAAAJ
149,Jyri  Mustajoki ,of Technology Teknillinen korkeakoulu,2007,"[['Raimo P Hämäläinen ', 'of Technology Teknillinen korkeakoulu', '1977']]",https://scholar.google.com//citations?hl=en&user=sq4EcdEAAAAJ
150,Johan  Nysjö ,Uppsala Universitet,2016,"[['Ingela  Nyström ', 'Uppsala Universitet', '1997'], ['Filip  Malmberg ', 'Uppsala Universitet', '2011']]",https://scholar.google.com//citations?hl=en&user=P3IkyVYAAAAJ
151,Jorge Luis Ortega Arjona ,University College London,2007,"[['David Samuel Rosenblum ', 'Stanford University', '1988']]",https://scholar.google.com//citations?hl=en&user=Cj3ndb8AAAAJ
152,Jaume  Pujol ,Universidad Autónoma de Barcelona,1995,"[['Josep  Rifà i Coma ', 'Universidad Autónoma de Barcelona', '1987']]",https://scholar.google.com//citations?hl=en&user=qdgenrkAAAAJ
153,Jordi  Pujolàs ,Universitat Politècnica de Catalunya,2006,"[['Steven D Galbraith ', 'University of Oxford', '1996'], ['Paz  Morillo Bosch ', 'Universitat Politècnica de Catalunya', '1987']]",https://scholar.google.com//citations?hl=en&user=z5x8QqgAAAAJ
154,James Eric Pustejovsky ,Northwestern University,2013,"[['Larry Vernon Hedges ', 'Stanford University', '1980']]",https://scholar.google.com//citations?hl=en&user=vrPDTgsAAAAJ
155,João  Rijo ,Instituto Superior Técnico,2021,"[['Luis M Barreira ', 'The Pennsylvania State University', '1996'], ['Clàudia  Valls Anglés ', 'Universidad de Barcelona', '1999']]",https://scholar.google.com//citations?hl=en&user=aLRbk7kAAAAJ
156,José Manuel Rodríguez Seijo ,Universidade de Santiago de Compostela,1994,"[['Juan M Viano ', 'Universidade de Santiago de Compostela', '1981']]",https://scholar.google.com//citations?hl=en&user=JRADcxgAAAAJ
157,José Manuel Rodríguez Seijo ,Universidade de Santiago de Compostela,1994,"[['Juan M Viano ', 'Universidade de Santiago de Compostela', '1981']]",https://scholar.google.com//citations?hl=en&user=JRADcxgAAAAJ
158,Javier  Rojo ,"University of California, Berkeley",1984,"[['Erich Leo Lehmann ', 'University of California, Berkeley', '1946']]",https://scholar.google.com//citations?hl=en&user=BzBOxhEAAAAJ
159,Jesús  Rojo García ,Universidad de Valladolid,1981,"[['Antonio  Pérez Gómez ', 'Universidad de Valladolid', '1970']]",https://scholar.google.com//citations?hl=en&user=o5yXj8kAAAAJ
160,Jörgen  Sjögren ,Göteborg Universitet,2011,"[['Dag  Westerståhl ', 'Göteborg Universitet', '1977'], ['Christian  Bennet ', 'Göteborg Universitet', '1986']]",https://scholar.google.com//citations?hl=en&user=3J-qQ9EAAAAJ
161,Johannes  Sjöstrand ,Lund University,1972,"[['Lars  Hörmander ', 'Lund University', '1955']]",https://scholar.google.com//citations?hl=en&user=cZ8IDuQAAAAJ
162,Joel Antonio Trejo-Sánchez ,Centro de Investigación Científica y de Educación Superior de Ensenada,2014,"[['Josi Alberto Fernandez-Zepeda ', 'Louisiana State University', '1999']]",https://scholar.google.com//citations?hl=en&user=9BJtifYAAAAJ
163,Jose Antonio Vallejo ,Universitat de València,2003,"[['Juan  Monterde ', 'Universitat de València', '1988']]",https://scholar.google.com//citations?hl=en&user=DCe6xigAAAAJ
